Zipcode,Consumer Expenditure Current Year Estimates (2020) Average Expenditure Average Alcoholic beverages,Consumer Expenditure Current Year Estimates (2020) Average Expenditure Average Education,Consumer Expenditure Current Year Estimates (2020) Average Expenditure Average Reading,Basic Variables Current Year Estimates (2020) Total Households,Housing Units Current Year Estimates (2020) Housing Value Median Housing Value,Basic Variables Current Year Estimates (2020) School Enrollment (Pop 3+) Total Total Population 3+,Basic Variables Current Year Estimates (2020) Income Household Median Household Income,Basic Variables Current Year Estimates (2020) Population Density
30558,627.73,1465.14,82.6,2340,161557,6160,53129,99.87
30559,540.65,1094.66,85.63,2030,192736,4790,46368,97.42
30560,543.13,1056.14,90.24,2155,205939,4915,45795,68.95
30563,629.03,1293.92,90.41,2062,156026,5463,55001,148.44
30564,728.64,1782.47,98.31,1876,243141,4855,68332,150.31
30565,703.34,1649.45,90.39,1738,215174,4820,63553,151.77
30566,701.19,1541.08,84.01,3316,181114,8473,57693,968.34
30567,740.82,1793.14,91.45,1261,234997,3492,67437,109.11
30568,534.26,1144.95,89.01,882,165940,2369,46644,60.78
30571,666.27,1382.63,102.1,1395,250917,3519,59033,73.06
30572,527.7,1122.41,85.99,645,194780,1360,44580,12.97
30575,763.81,1741.3,96.07,678,241146,1836,72420,147.61
30576,504.89,1031,85.42,1174,182316,2769,44376,62.36
30577,513.97,1100.27,81.2,8580,123612,21504,42506,138.15
30582,553.82,1072.18,85.61,2107,207402,5639,47922,100.86
30597,730.89,1538.62,92.74,1,246892,658,62174,8559.42
30601,439.2,906.13,54.29,9211,127122,22123,26613,960.53
30602,204,516.8,14.2,1,,2694,12500,3085.54
30605,573.22,1205.6,70.15,17284,177723,44057,36346,1227.18
30606,687.77,1364.26,86.87,19334,220155,44487,48862,1395.61
30607,676.67,1426.71,85.81,4244,163614,12055,49284,327.44
30609,238.86,879.2,31.19,281,312028,819,18433,373.41
30619,519.09,1083.2,76.89,611,154665,1527,50772,61.5
30620,791.43,1787.3,91.47,4440,174894,12943,67354,632.02
30621,773.14,1942.93,99.72,2080,338589,6091,103658,127.3
30622,778.92,1948.9,101.55,3666,276895,9709,90564,282.3
30624,458.59,1086.59,78.88,1010,90270,2488,39103,60.92
30625,605.72,1282.53,92.86,1031,199929,2416,54676,45.77
30627,494.08,1009.91,69.73,887,136388,2156,45540,17.94
30628,574.91,1244.99,79.78,2669,152389,7141,55004,136.09
30629,552.66,1164.38,75.04,1829,152213,4743,52479,63.81
30630,532.64,1037.91,78.46,894,149081,2308,51131,72.82
30631,483.23,908.18,75.98,733,79701,1694,33180,9.51
30633,561.05,1230.77,81.43,3216,149307,8283,54342,89.95
30641,765.26,1654.04,95.17,827,196224,2072,64696,59.29
30642,605.05,1148.71,100.8,5536,185106,12776,57085,63.66
30646,530.15,1065.29,79.32,2750,144325,7122,51615,207.32
30648,542.17,1032.91,75.4,1173,137000,3010,50733,33.89
30650,634.22,1328.39,86.48,4792,190738,12156,57210,52.15
30655,623.27,1358.74,78.61,9951,184315,25844,50064,320.01
30656,709.28,1627.07,90.5,6227,206362,16737,58109,241.16
30660,499.06,1011.55,77.8,442,104768,1091,43331,10.2
30662,516.09,1102.51,78.03,3413,127749,8710,46135,108.67
30663,641.08,1504.17,90.54,1339,202569,3441,58128,60.56
30666,708.44,1549.73,88.11,3758,175077,10021,62304,288.18
30667,520.19,944.56,73.65,370,151164,944,52464,14.61
30669,470.3,934.11,64.37,1402,85864,3551,38377,28.31
30677,784.55,1848.92,101.46,7538,322253,20243,108008,178.28
30678,541.7,1256.8,86.56,571,119011,1431,52217,25.28
30680,700.85,1547.14,86.33,15999,171062,43904,60241,494.4
30683,676.49,1489.77,89.78,2740,157690,6862,52576,186.39
30701,592.45,1289.5,80.58,15062,155256,40907,52268,282.37
30705,542.74,1199.08,78.71,12119,115783,32991,47306,157.09
30730,496.09,1006.69,78.75,800,87457,2097,43280,36.08
30731,558.89,1124.67,85.79,1161,100008,2455,43966,28.27
30733,521.14,1154.52,75.64,789,143374,2053,42696,140.7
30734,567.48,1273.55,82.32,1423,140943,3707,48384,53.71
30735,552.85,1280.31,83.92,2195,118517,5913,48648,109.31
30746,602.26,1434.65,87.8,404,157034,1050,55172,68.62
